item_id,item_name,base_price,category,is_reference,description
CAT_001,Термокружка ПОЛАТИ,1995,anchor,false,Термокружка с логотипом компании
CAT_002,Футболка белая ПОЛАТИ,2099,anchor,false,Белая футболка с логотипом
CAT_003,Бейсболка ПОЛАТИ,2449,anchor,false,Бейсболка с вышитым логотипом
CAT_004,Свитшот серый ПОЛАТИ,4549,dynamic,false,Серый свитшот с логотипом
CAT_005,Худи оверсайз ПОЛАТИ,10149,dynamic,false,Худи свободного кроя с логотипом
CAT_006,Сумка ПОЛАТИ,10499,dynamic,true,Сумка с логотипом - референсный товар для проверок
